currency,period,start_date,end_date,start_usd_local,end_usd_local,pct_change_usd_local,interpretation,file
ETB,1y,2025-05-08,2026-05-07,132.1999969482422,156.75,18.57035069476547,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ETB)\usdetb_1y_daily.csv
EGP,1y,2025-05-08,2026-05-07,50.6077995300293,52.67710113525391,4.088898597530899,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - EGP)\usdegp_1y_daily.csv
MAD,1y,2025-05-08,2026-05-07,8.917257308959961,9.194000244140623,3.1034535125794127,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - MAD)\usdmad_1y_daily.csv
KES,1y,2025-05-08,2026-05-07,128.25,128.17999267578125,-0.05458660757797773,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - KES)\usdkes_1y_daily.csv
DZD,1y,2025-05-08,2026-05-08,132.35971069335938,131.80999755859375,-0.4153175704948109,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - DZD)\usddzd_1y_daily.csv
XOF,1y,2025-05-08,2026-05-08,574.0,558.8800048828125,-2.6341454907992112,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - XOF)\usdxof_1y_daily.csv
ZAR,1y,2025-05-08,2026-05-08,18.25079917907715,16.48200035095215,-9.691623970925967,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZAR)\usdzar_1y_daily.csv
GHS,1y,2025-05-08,2026-05-07,13.199999809265137,11.239999771118164,-14.848485352031904,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - GHS)\usdghs_1y_daily.csv
NGN,1y,2025-05-08,2026-05-08,1606.530029296875,1354.6600341796875,-15.677889023177649,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - NGN)\usdngn_1y_daily.csv
CDF,1y,2025-05-08,2026-05-07,2851.0,2291.0,-19.642230796211855,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - CDF)\usdcdf_1y_daily.csv
ZMW,1y,2025-05-08,2026-05-07,26.680391311645508,18.888303756713867,-29.20529711845169,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZMW)\usdzmw_1y_daily.csv
NGN,3y,2023-05-08,2026-05-07,459.8699951171875,1354.6600341796875,194.57456423841762,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - NGN)\usdngn_3y_daily.csv
ETB,3y,2023-05-08,2026-05-07,54.11000061035156,156.75,189.68766999055032,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ETB)\usdetb_3y_daily.csv
EGP,3y,2023-05-08,2026-05-07,30.774599075317383,52.67710113525391,71.17071454394129,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - EGP)\usdegp_3y_daily.csv
CDF,3y,2023-05-08,2026-05-07,2041.2265625,2291.0,12.2364387221225,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - CDF)\usdcdf_3y_daily.csv
ZMW,3y,2023-05-08,2026-05-07,17.952205657958984,18.888303756713867,5.214390457586315,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZMW)\usdzmw_3y_daily.csv
DZD,3y,2023-05-08,2026-05-08,134.76927185058594,131.8090057373047,-2.196543820881658,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - DZD)\usddzd_3y_daily.csv
GHS,3y,2023-05-08,2026-05-07,11.550000190734863,11.239999771118164,-2.6839862727047747,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - GHS)\usdghs_3y_daily.csv
KES,3y,2023-05-08,2026-05-07,135.4499969482422,128.17999267578125,-5.367297479703104,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - KES)\usdkes_3y_daily.csv
XOF,3y,2023-05-08,2026-05-08,592.0,558.8800048828125,-5.594593769795186,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - XOF)\usdxof_3y_daily.csv
MAD,3y,2023-05-08,2026-05-07,9.987500190734863,9.194000244140623,-7.944930477501755,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - MAD)\usdmad_3y_daily.csv
ZAR,3y,2023-05-08,2026-05-08,18.385950088500977,16.484050750732422,-10.344308173435369,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZAR)\usdzar_3y_daily.csv
ETB,5y,2021-05-10,2026-05-07,41.66871643066406,156.75,276.18149400121064,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ETB)\usdetb_5y_daily.csv
NGN,5y,2021-05-07,2026-05-07,380.5,1354.6600341796875,256.0210339499836,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - NGN)\usdngn_5y_daily.csv
EGP,5y,2021-05-10,2026-05-07,15.630999565124512,52.67710113525391,237.00404709104927,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - EGP)\usdegp_5y_daily.csv
GHS,5y,2021-05-07,2026-05-07,5.75,11.25,95.65217391304348,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - GHS)\usdghs_5y_daily.csv
KES,5y,2021-05-10,2026-05-07,105.6999969482422,128.17999267578125,21.267735455609092,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - KES)\usdkes_5y_daily.csv
ZAR,5y,2021-05-10,2026-05-08,14.055299758911133,16.478219985961914,17.238481345903978,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZAR)\usdzar_5y_daily.csv
CDF,5y,2021-05-10,2026-05-07,1973.0,2291.0,16.11758743030918,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - CDF)\usdcdf_5y_daily.csv
MAD,5y,2021-05-10,2026-05-07,8.530449867248535,9.194000244140623,7.778609419412885,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - MAD)\usdmad_5y_daily.csv
XOF,5y,2021-05-10,2026-05-08,539.294189453125,558.8800048828125,3.631749759727354,devalued vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - XOF)\usdxof_5y_daily.csv
DZD,5y,2021-05-10,2026-05-08,132.99734497070312,131.80999755859375,-0.8927602369588117,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - DZD)\usddzd_5y_daily.csv
ZMW,5y,2021-05-10,2026-05-07,22.161346435546875,18.888303756713867,-14.769150820110077,appreciated vs USD,C:\Users\hocke\Desktop\quant_portfolio_scaffold\data\FX-Hedging-main\FX Rates (USD - ZMW)\usdzmw_5y_daily.csv
